word               len
-----------------  ---
inoepithelioma      14
decimate             8
immolation          10
splendiferousness   17
coccigenic          10
manuscript          10
conferential        12
bookmaker            9
edificatory         11
acetimeter          10
Perkin               6
Mahometry            9
fustle               6
blennotorrhea       13
ani                  3
ingle                5
carnassial          10
antecedency         11
malaprop             8
copromoter          10
nichelino            9
electronarcosis     15
pasteurellosis      14
centenarianism      14
tastelessly         11
