Analysis,Pipeline version,Sample,MGnify ID,Experiment type,Assembly,ENA run,ENA WGS sequence set
MGYA00005220,2.0,ERS490373,MGYS00000410,metagenomic,,ERR599044,
MGYA00005081,2.0,ERS490507,MGYS00000410,metagenomic,,ERR599005,
MGYA00005208,2.0,ERS492680,MGYS00000410,metagenomic,,ERR598999,
MGYA00005133,2.0,ERS490633,MGYS00000410,metagenomic,,ERR599154,
MGYA00005272,2.0,ERS488769,MGYS00000410,metagenomic,,ERR599062,
MGYA00005209,2.0,ERS490714,MGYS00000410,metagenomic,,ERR599124,
MGYA00005243,2.0,ERS493822,MGYS00000410,metagenomic,,ERR599051,
MGYA00005117,2.0,ERS491980,MGYS00000410,metagenomic,,ERR599132,
MGYA00005135,2.0,ERS493705,MGYS00000410,metagenomic,,ERR599152,
MGYA00005075,2.0,ERS494006,MGYS00000410,metagenomic,,ERR598985,
MGYA00005154,2.0,ERS494616,MGYS00000410,metagenomic,,ERR598944,
MGYA00005150,2.0,ERS494374,MGYS00000410,metagenomic,,ERR598958,
MGYA00005082,2.0,ERS490230,MGYS00000410,metagenomic,,ERR599131,
MGYA00005056,2.0,ERS488936,MGYS00000410,metagenomic,,ERR599172,
MGYA00005282,2.0,ERS494431,MGYS00000410,metagenomic,,ERR598964,
MGYA00005076,2.0,ERS491767,MGYS00000410,metagenomic,,ERR599085,
MGYA00005095,2.0,ERS489987,MGYS00000410,metagenomic,,ERR599164,
MGYA00005159,2.0,ERS492294,MGYS00000410,metagenomic,,ERR599020,
MGYA00005174,2.0,ERS490230,MGYS00000410,metagenomic,,ERR598947,
MGYA00005047,2.0,ERS492471,MGYS00000410,metagenomic,,ERR599072,
MGYA00005142,2.0,ERS492680,MGYS00000410,metagenomic,,ERR599096,
MGYA00005226,2.0,ERS492680,MGYS00000410,metagenomic,,ERR599083,
MGYA00005205,2.0,ERS491980,MGYS00000410,metagenomic,,ERR599128,
MGYA00005125,2.0,ERS493705,MGYS00000410,metagenomic,,ERR599015,
MGYA00005105,2.0,ERS492381,MGYS00000410,metagenomic,,ERR599086,
MGYA00005225,2.0,ERS493705,MGYS00000410,metagenomic,,ERR599127,
MGYA00005068,2.0,ERS492680,MGYS00000410,metagenomic,,ERR599033,
MGYA00005266,2.0,ERS488849,MGYS00000410,metagenomic,,ERR599109,
MGYA00005236,2.0,ERS493460,MGYS00000410,metagenomic,,ERR599115,
MGYA00005221,2.0,ERS494274,MGYS00000410,metagenomic,,ERR599047,
MGYA00005224,2.0,ERS490507,MGYS00000410,metagenomic,,ERR599048,
MGYA00005046,2.0,ERS491767,MGYS00000410,metagenomic,,ERR599071,
MGYA00005051,2.0,ERS493705,MGYS00000410,metagenomic,,ERR599076,
MGYA00005061,2.0,ERS488769,MGYS00000410,metagenomic,,ERR599031,
MGYA00005286,2.0,ERS490065,MGYS00000410,metagenomic,,ERR598960,
MGYA00005140,2.0,ERS490714,MGYS00000410,metagenomic,,ERR599159,
MGYA00005057,2.0,ERS493822,MGYS00000410,metagenomic,,ERR599175,
MGYA00005094,2.0,ERS488849,MGYS00000410,metagenomic,,ERR599167,
