pct,reads,sample,tax_id,tax_name
7.023,3613863,IonXpress_029_MockCommunity_staggered.fa,561,Escherichia
0.2805,144329,IonXpress_029_MockCommunity_staggered.fa,620,Shigella
0.03954,20345,IonXpress_029_MockCommunity_staggered.fa,544,Citrobacter
0.03873,19929,IonXpress_029_MockCommunity_staggered.fa,590,Salmonella
0.0329,16929,IonXpress_029_MockCommunity_staggered.fa,570,Klebsiella
0.02534,13037,IonXpress_029_MockCommunity_staggered.fa,547,Enterobacter
4.538,2335290,IonXpress_029_MockCommunity_staggered.fa,286,Pseudomonas
0.2847,146501,IonXpress_029_MockCommunity_staggered.fa,469,Acinetobacter
24.53,12621633,IonXpress_029_MockCommunity_staggered.fa,1060,Rhodobacter
0.374,192454,IonXpress_029_MockCommunity_staggered.fa,209,Helicobacter
0.2088,107439,IonXpress_029_MockCommunity_staggered.fa,482,Neisseria
20.53,10561362,IonXpress_029_MockCommunity_staggered.fa,1279,Staphylococcus
1.563,804150,IonXpress_029_MockCommunity_staggered.fa,1386,Bacillus
0.1633,84048,IonXpress_029_MockCommunity_staggered.fa,1637,Listeria
17.43,8966538,IonXpress_029_MockCommunity_staggered.fa,1301,Streptococcus
0.1196,61540,IonXpress_029_MockCommunity_staggered.fa,1578,Lactobacillus
0.027,13893,IonXpress_029_MockCommunity_staggered.fa,1350,Enterococcus
1.448,745026,IonXpress_029_MockCommunity_staggered.fa,1485,Clostridium
0.3086,158786,IonXpress_029_MockCommunity_staggered.fa,1912216,Cutibacterium
0.05435,27967,IonXpress_029_MockCommunity_staggered.fa,1716,Corynebacterium
0.02199,11317,IonXpress_029_MockCommunity_staggered.fa,1298,Deinococcus
0.03847,19795,IonXpress_029_MockCommunity_staggered.fa,816,Bacteroides
12.4,5913641,IonXpress_030_Mockcommunity_even.fa,286,Pseudomonas
4.649,2216404,IonXpress_030_Mockcommunity_even.fa,469,Acinetobacter
1.725,822235,IonXpress_030_Mockcommunity_even.fa,561,Escherichia
0.0688,32800,IonXpress_030_Mockcommunity_even.fa,620,Shigella
0.01027,4896,IonXpress_030_Mockcommunity_even.fa,590,Salmonella
9.138,4356611,IonXpress_030_Mockcommunity_even.fa,209,Helicobacter
6.077,2897198,IonXpress_030_Mockcommunity_even.fa,1060,Rhodobacter
5.198,2478098,IonXpress_030_Mockcommunity_even.fa,482,Neisseria
6.607,3150170,IonXpress_030_Mockcommunity_even.fa,1279,Staphylococcus
4.138,1973030,IonXpress_030_Mockcommunity_even.fa,1637,Listeria
2.533,1207608,IonXpress_030_Mockcommunity_even.fa,1386,Bacillus
6.953,3314945,IonXpress_030_Mockcommunity_even.fa,1301,Streptococcus
3.64,1735257,IonXpress_030_Mockcommunity_even.fa,1350,Enterococcus
2.052,978146,IonXpress_030_Mockcommunity_even.fa,1578,Lactobacillus
2.779,1325142,IonXpress_030_Mockcommunity_even.fa,1485,Clostridium
6.79,3237171,IonXpress_030_Mockcommunity_even.fa,1912216,Cutibacterium
0.4265,203336,IonXpress_030_Mockcommunity_even.fa,2529408,Schaalia
0.2723,129842,IonXpress_030_Mockcommunity_even.fa,1654,Actinomyces
0.3423,163200,IonXpress_030_Mockcommunity_even.fa,1716,Corynebacterium
0.01653,7882,IonXpress_030_Mockcommunity_even.fa,33882,Microbacterium
0.0182,8678,IonXpress_030_Mockcommunity_even.fa,32207,Rothia
0.01116,5322,IonXpress_030_Mockcommunity_even.fa,1663,Arthrobacter
0.0274,13063,IonXpress_030_Mockcommunity_even.fa,1883,Streptomyces
0.01311,6249,IonXpress_030_Mockcommunity_even.fa,1678,Bifidobacterium
6.425,3063334,IonXpress_030_Mockcommunity_even.fa,1298,Deinococcus
7.159,3413225,IonXpress_030_Mockcommunity_even.fa,816,Bacteroides
