sample_id	sample_name	latitude	longitude	depth
1	CSHLIID20-03a-S06C001-0015	24.349	-156.798	15
2	CSHLIID20-03a-S07C001-0015	24.367	-156.799	15
3	CSHLIID20-03a-S08C001-0015	24.388	-156.767	15
4	CSHLIID20-03a-S09C001-0015	24.387	-156.767	15
5	CSHLIID20-03a-S14C001-0015	24.424	-156.761	15
6	CSHLIID20-03a-S15C001-0015	24.46	-156.738	15
7	CSHLIID20-03a-S16C001-0015	24.481	-156.718	15
8	CSHLIID20-03a-S17C001-0015	24.497	-156.687	15
9	CSHLIID20-03a-S18C001-0015	24.533	-156.646	15
10	CSHLIID20-03a-S19C001-0015	24.539	-156.637	15
12	CSHLIID20-03a-S20C001-0015	24.541	-156.634	15
13	CSHLIID20-03a-S21C001-0015	24.552	-156.581	15
14	CSHLIID20-03a-S22C001-0015	24.552	-156.585	15
15	CSHLIID20-03a-S23C001-0015	24.564	-156.557	15
16	CSHLIID20-03a-S24C001-0015	24.595	-156.524	15
17	CSHLIID20-03a-S26C001-0015	24.603	-156.51	15
18	CSHLIID20-03a-S28C001-0015	24.603	-156.504	15
19	CSHLIID20-03a-S29C001-0015	24.586	-156.438	15
20	CSHLIID20-03a-S30C001-0015	24.576	-156.42	15
21	CSHLIID20-03a-S31C001-0015	24.57	-156.426	15
22	CSHLIID20-03a-S32C001-0015	24.583	-156.413	15
23	CSHLIID20-03a-S33C001-0015	24.576	-156.387	15
24	CSHLIID20-03a-S34C001-0015	24.576	-156.381	15
25	CSHLIID20-03a-S35C001-0015	24.583	-156.364	15
26	CSHLIID20-03a-S37C001-0015	24.583	-156.363	15
27	CSHLIID20-03a-S47C001-0015	24.535	-156.309	15
28	CSHLIID20-03a-S49C001-0015	24.497	-156.307	20
29	CSHLIID20-03a-S51C001-0015	24.5	-156.312	20
30	CSHLIID20-03a-S52C001-0015	24.496	-156.298	15
31	CSHLIID20-03a-S53C001-0015	24.498	-156.302	15
32	CSHLIID20-03a-S54C001-0015	24.481	-156.301	15
33	CSHLIID20-03a-S55C001-0015	24.478	-156.297	15
34	CSHLIID20-03a-S56C001-0015	24.473	-156.293	15
35	CSHLIID20-03a-S57C001-0015	24.415	-156.314	15
36	CSHLIID20-03a-S58C001-0015	24.414	-156.315	15
37	CSHLIID20-03a-S60C001-0015	24.413	-156.312	15
38	CSHLIID20-03a-S61C001-0015	24.405	-156.355	15
39	CSHLIID20-03a-S63C001-0015	24.398	-156.35	15
40	CSHLIID20-03a-S64C001-0015	24.362	-156.343	15
41	CSHLIID20-03a-S66C001-0015	24.346	-156.347	15
42	CSHLIID20-03a-S67C001-0015	24.349	-156.314	15
43	CSHLIID20-03a-S68C001-0015	24.29	-156.408	15
44	CSHLIID20-03a-S69C001-0015	24.286	-156.412	15
45	CSHLIID20-03a-S70C001-0015	24.283	-156.387	15
46	CSHLIIR00-20a-S06C001-0015	24.349	-156.798	15
47	CSHLIIR00-20a-S07C001-0015	24.367	-156.799	15
48	CSHLIIR00-20a-S08C001-0015	24.388	-156.767	15
49	CSHLIIR00-20a-S09C001-0015	24.387	-156.767	15
50	CSHLIIR00-20a-S14C001-0015	24.424	-156.761	15
51	CSHLIIR00-20a-S15C001-0015	24.46	-156.738	15
52	CSHLIIR00-20a-S16C001-0015	24.481	-156.718	15
53	CSHLIIR00-20a-S17C001-0015	24.497	-156.687	15
54	CSHLIIR00-20a-S18C001-0015	24.533	-156.646	15
56	CSHLIIR00-20a-S19C001-0015	24.539	-156.637	15
57	CSHLIIR00-20a-S20C001-0015	24.541	-156.634	15
58	CSHLIIR00-20a-S21C001-0015	24.552	-156.581	15
59	CSHLIIR00-20a-S22C001-0015	24.552	-156.585	15
60	CSHLIIR00-20a-S23C001-0015	24.564	-156.557	15
61	CSHLIIR00-20a-S24C001-0015	24.595	-156.524	15
62	CSHLIIR00-20a-S26C001-0015	24.603	-156.51	15
63	CSHLIIR00-20a-S28C001-0015	24.603	-156.504	15
64	CSHLIIR00-20a-S29C001-0015	24.586	-156.438	15
65	CSHLIIR00-20a-S30C001-0015	24.576	-156.42	15
66	CSHLIIR00-20a-S31C001-0015	24.57	-156.426	15
67	CSHLIIR00-20a-S32C001-0015	24.583	-156.413	15
68	CSHLIIR00-20a-S33C001-0015	24.576	-156.387	15
69	CSHLIIR00-20a-S34C001-0015	24.576	-156.381	15
70	CSHLIIR00-20a-S35C001-0015	24.583	-156.364	15
71	CSHLIIR00-20a-S37C001-0015	24.583	-156.363	15
72	CSHLIIR00-20a-S47C001-0015	24.535	-156.309	15
73	CSHLIIR00-20a-S49C001-0015	24.497	-156.307	20
74	CSHLIIR00-20a-S51C001-0015	24.5	-156.312	20
75	CSHLIIR00-20a-S52C001-0015	24.496	-156.298	15
76	CSHLIIR00-20a-S53C001-0015	24.498	-156.302	15
77	CSHLIIR00-20a-S54C001-0015	24.481	-156.301	15
78	CSHLIIR00-20a-S55C001-0015	24.478	-156.297	15
79	CSHLIIR00-20a-S56C001-0015	24.473	-156.293	15
80	CSHLIIR00-20a-S57C001-0015	24.415	-156.314	15
81	CSHLIIR00-20a-S58C001-0015	24.414	-156.315	15
82	CSHLIIR00-20a-S60C001-0015	24.413	-156.312	15
83	CSHLIIR00-20a-S61C001-0015	24.405	-156.355	15
84	CSHLIIR00-20a-S63C001-0015	24.398	-156.35	15
85	CSHLIIR00-20a-S64C001-0015	24.362	-156.343	15
86	CSHLIIR00-20a-S66C001-0015	24.346	-156.347	15
87	CSHLIIR00-20a-S67C001-0015	24.349	-156.314	15
88	CSHLIIR00-20a-S68C001-0015	24.29	-156.408	15
