word            len
--------------  ---
pansinusitis     12
Caedmonic         9
hontish           7
muttonmonger     12
semicivilized    13
wildlike          8
supratympanic    13
screening         9
polygraph         9
unwinged          8
stabilizer       10
triverbal         9
coapparition     12
proportionably   14
orographical     12
charpoy           7
stake             5
unstrap           7
unfellowed       10
housewarming     12
daunter           7
doubtlessness    13
evening           7
thrawcrook       10
appliably         9
perichord         9
